Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Drug,Explanation,Level
"Patient presents with fever, dry cough, loss of smell, sore throat, shortness of breath. What is the most likely disease?",Rheumatoid Arthritis,Hepatitis B,COVID-19,Dengue,COVID-19,"Supportive, antivirals in severe cases","COVID-19 commonly presents with fever, cough, anosmia.",Hard
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Urinary Tract Infection,Epilepsy,Appendicitis,Anemia,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Moderate
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Pneumonia,Dengue,Migraine,Rheumatoid Arthritis,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Typhoid Fever,Dengue,Rheumatoid Arthritis,Diabetes Mellitus,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Moderate
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Pneumonia,Peptic Ulcer,COVID-19,Hypothyroidism,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Easy
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Diabetes Mellitus,Peptic Ulcer,Hepatitis B,Epilepsy,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Moderate
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Appendicitis,Measles,Dengue,Hypertension,Dengue,Supportive care,Dengue is viral; management is supportive.,Easy
"Patient presents with fever, itchy vesicular rash, lesions in different stages. What is the most likely disease?",Malaria,Chickenpox,Hypertension,Tuberculosis,Chickenpox,Supportive (Acyclovir if severe),Chickenpox shows vesicles in crops at different stages.,Hard
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Typhoid Fever,Pneumonia,Diabetes Mellitus,COVID-19,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Hard
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Rheumatoid Arthritis,Urinary Tract Infection,Tuberculosis,Migraine,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Hard
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Chickenpox,Typhoid Fever,Malaria,Dengue,Dengue,Supportive care,Dengue is viral; management is supportive.,Easy
"Patient presents with fever, itchy vesicular rash, lesions in different stages. What is the most likely disease?",Urinary Tract Infection,Malaria,Chickenpox,Hypertension,Chickenpox,Supportive (Acyclovir if severe),Chickenpox shows vesicles in crops at different stages.,Hard
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Pneumonia,Dengue,Malaria,Anemia,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Moderate
"Patient presents with pain starting around umbilicus and localizing to right lower abdomen, nausea. What is the most likely disease?",Appendicitis,Hepatitis B,Rheumatoid Arthritis,Dengue,Appendicitis,Surgical appendectomy,Appendicitis causes migratory RLQ pain.,Easy
"Patient presents with fever, itchy vesicular rash, lesions in different stages. What is the most likely disease?",Urinary Tract Infection,Malaria,Chickenpox,Hypertension,Chickenpox,Supportive (Acyclovir if severe),Chickenpox shows vesicles in crops at different stages.,Hard
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Chickenpox,Pneumonia,Typhoid Fever,Urinary Tract Infection,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Moderate
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Asthma,Chickenpox,Pneumonia,Malaria,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Hard
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Malaria,Urinary Tract Infection,Hypothyroidism,Hepatitis B,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Moderate
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Chickenpox,Epilepsy,Tuberculosis,Hypertension,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Hard
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Urinary Tract Infection,Anemia,Chickenpox,Rheumatoid Arthritis,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Easy
"Patient presents with fever, itchy vesicular rash, lesions in different stages. What is the most likely disease?",Hypertension,Typhoid Fever,Chickenpox,Diabetes Mellitus,Chickenpox,Supportive (Acyclovir if severe),Chickenpox shows vesicles in crops at different stages.,Easy
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Diabetes Mellitus,Hypertension,Dengue,Rheumatoid Arthritis,Dengue,Supportive care,Dengue is viral; management is supportive.,Hard
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Urinary Tract Infection,Epilepsy,Appendicitis,Anemia,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Moderate
